id,movie_genres,movie_id
1,Adventure,1
2,Children,1
3,Comedy,1
4,Fantasy,1
5,Adventure,2
6,Children,2
7,Fantasy,2
8,Comedy,3
9,Romance,3
10,Comedy,4
11,Drama,4
12,Romance,4
13,Comedy,5
14,Action,6
15,Crime,6
16,Thriller,6
17,Comedy,7
18,Romance,7
19,Adventure,8
20,Children,8
21,Action,9
22,Action,10
23,Adventure,10
24,Thriller,10
25,Comedy,11
26,Drama,11
27,Romance,11
28,Comedy,12
29,Horror,12
30,Adventure,13
31,Animation,13
32,Children,13
33,Drama,14
34,Action,15
35,Adventure,15
36,Romance,15
37,Crime,16
38,Drama,16
39,Drama,17
40,Romance,17
41,Comedy,18
42,Comedy,19
43,Action,20
44,Comedy,20
45,Crime,20
46,Drama,20
47,Thriller,20
48,Comedy,21
49,Crime,21
50,Thriller,21
51,Crime,22
52,Drama,22
53,Horror,22
54,Mystery,22
55,Thriller,22
56,Action,23
57,Crime,23
58,Thriller,23
59,Drama,24
60,Sci-Fi,24
61,Drama,25
62,Romance,25
63,Drama,26
64,Children,27
65,Drama,27
66,Drama,28
67,Romance,28
68,Adventure,29
69,Drama,29
70,Fantasy,29
71,Mystery,29
72,Sci-Fi,29
73,Crime,30
74,Drama,30
75,Drama,31
76,Mystery,32
77,Sci-Fi,32
78,Thriller,32
79,Children,34
80,Drama,34
81,Crime,36
82,Drama,36
83,Children,38
84,Comedy,38
85,Comedy,39
86,Romance,39
87,Drama,40
88,Drama,41
89,War,41
90,Action,42
91,Crime,42
92,Drama,42
93,Drama,43
94,Action,44
95,Adventure,44
96,Fantasy,44
97,Comedy,45
98,Drama,45
99,Thriller,45
100,Drama,46
101,Romance,46
102,Mystery,47
103,Thriller,47
104,Animation,48
105,Children,48
106,Drama,48
107,Musical,48
108,Romance,48
109,Drama,49
110,Romance,49
111,Crime,50
112,Mystery,50
113,Thriller,50
114,Comedy,52
115,Drama,52
116,Romance,52
117,Adventure,53
118,Drama,53
119,Children,54
120,Comedy,54
121,Drama,55
122,Drama,57
123,Comedy,58
124,Drama,58
125,Romance,58
126,Adventure,60
127,Children,60
128,Fantasy,60
129,Drama,61
130,Thriller,61
131,Drama,62
132,Comedy,63
133,Crime,63
134,Comedy,64
135,Romance,64
136,Comedy,65
137,Action,66
138,Sci-Fi,66
139,Thriller,66
140,Comedy,68
141,Romance,68
142,Comedy,69
143,Action,70
144,Comedy,70
145,Horror,70
146,Thriller,70
147,Action,71
148,Comedy,72
149,Drama,72
150,Drama,73
151,War,73
152,Drama,74
153,Romance,74
154,Comedy,75
155,Drama,75
156,Action,76
157,Sci-Fi,76
158,Thriller,76
159,Documentary,77
160,Action,78
161,Crime,78
162,Drama,78
163,Thriller,78
164,Drama,79
165,Thriller,79
166,Children,80
167,Drama,80
168,Crime,81
169,Drama,81
170,Romance,81
171,Comedy,82
172,Drama,82
173,Drama,83
174,Romance,83
175,Drama,85
176,Romance,85
177,Action,86
178,Adventure,86
179,Drama,86
180,Children,87
181,Comedy,87
182,Comedy,88
183,Action,89
184,Thriller,89
185,Drama,92
186,Horror,92
187,Thriller,92
188,Comedy,93
189,Horror,93
190,Romance,93
191,Comedy,94
192,Drama,94
193,Romance,94
194,Action,95
195,Adventure,95
196,Thriller,95
197,Comedy,96
198,Drama,96
199,Crime,97
200,Drama,97
201,Documentary,99
202,Drama,100
203,Thriller,100
204,Adventure,101
205,Comedy,101
206,Crime,101
207,Romance,101
208,Comedy,102
209,Mystery,103
210,Sci-Fi,103
211,Thriller,103
212,Comedy,104
213,Drama,105
214,Romance,105
215,Comedy,106
216,Drama,106
217,Adventure,107
218,Children,107
219,Comedy,107
220,Musical,107
221,Documentary,108
222,Action,110
223,Drama,110
224,War,110
225,Crime,111
226,Drama,111
227,Thriller,111
228,Action,112
229,Adventure,112
230,Comedy,112
231,Crime,112
232,Drama,113
233,Mystery,113
234,Documentary,116
235,Crime,117
236,Drama,117
237,Comedy,118
238,Romance,118
239,Comedy,119
240,Drama,121
241,Comedy,122
242,Romance,122
243,Drama,123
244,Mystery,123
245,Romance,123
246,Comedy,125
247,Adventure,126
248,Children,126
249,Fantasy,126
250,Documentary,128
251,Comedy,129
252,Romance,129
253,Thriller,132
254,Comedy,135
255,Documentary,137
256,Drama,140
257,Romance,140
258,Comedy,141
259,Comedy,144
260,Action,145
261,Comedy,145
262,Crime,145
263,Drama,145
264,Thriller,145
265,Adventure,146
266,Children,146
267,Drama,147
268,Drama,148
269,Crime,149
270,Drama,149
271,Thriller,149
272,Adventure,150
273,Drama,150
274,IMAX,150
